,MyUnknownColumn,Project_name,Area_In_City,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet,Ratings
254,7,Eastsyde,Ghatkopar East,Vaibhavlaxmi Builders &amp; Developers,Possession in 2024, 85 Lac                                                             , 1.65 Cr - 1.72 Cr                                                             ,657 - 730 sqft,365  sqft,9.0
255,8,Promesa Midtown,Ghatkopar East,Promesa Realty,Possession in 2024, 2 Cr                                                             , 79 Lac - 99 Lac                                                             ,361 - 419 sqft,305  sqft,1.0
256,9,Ornate Solitaire,Dahisar East,Ornate Universal,Possession in 2027, 1.37 Cr - 1.39 Cr                                                             , 1.52 Cr - 1.93 Cr                                                             ,680 - 705 sqft,598  sqft,1.0
257,10,Vivan,Goregaon West,Goregaon Electrical Industries LLP,Possession in 2026, 1.37 Cr - 1.39 Cr                                                             , 1.52 Cr - 1.93 Cr                                                             ,680 - 705 sqft,598  sqft,6.0
258,11,Sheetal Regalia,Borivali East,DGS Group,Possession in 2028, 1.37 Cr - 1.39 Cr                                                             , 1.52 Cr - 1.93 Cr                                                             ,680 - 705 sqft,598  sqft,4.0
259,12,Beautiful NL Krishna,Dahisar East,NLPL,Possession in 2025, 1.37 Cr - 1.39 Cr                                                             , 1.52 Cr - 1.93 Cr                                                             ,680 - 705 sqft,598  sqft,7.0
260,13,Meghna Ashraya,Goregaon East,Shakti Constructions,Possession in 2025, 1.37 Cr - 1.39 Cr                                                             , 1.52 Cr - 1.93 Cr                                                             ,680 - 705 sqft,598  sqft,1.0
261,0,Sahyadri Plumeria,Borhade Wadi,Sahyadri Landmarks,Possession in 2026, 58 Lac                                                             , 79 Lac - 82 Lac                                                             ,993  sqft,780  sqft,6.0
262,1,Samrajya,"Pimple Gurav, Pimpri Chinchwad",Garve Patil Constructions,Possession in 2026, 85 Lac                                                             , 1.10 Cr                                                             ,1040  sqft,800  sqft,8.0
263,2,Godrej Hillside,Mahalunge,Godrej Properties,Possession in 2026, 38 Lac                                                             , 70 Lac - 78 Lac                                                             ,680  sqft,458  sqft,0.0
